Player,Season,Age,BMI,Weight,HeightInch,GamesPlayed,GamesStarted,NumTargets,NumReceptions,CatchPercent,Position,FanPt,FanPtNextSeason,FanPtNextSeason_Center,Age_Center,GamesPlayed_Center,BMI_Center,NumTargets_Center,NumReceptions_Center,CatchPercent_Center,GamesStarted_Center,Weight_Center,HeightInch_Center
Curtis Samuel,2018,22,27.2,195,71,13,8,65,39,60,WR,97.8,117.7,18.89999999999999,-4,-3,-0.40000000000000213,-28,-20.5,-6.150000000000006,-6,-20,-3.5
Brandin Cooks,2018,25,27.1,189,70,16,16,117,80,68.4,WR,163.2,75.5,-23.30000000000001,-1,0,-0.5,24,20.5,2.25,2,-26,-4.5
Kyle Rudolph,2018,29,30.6,265,78,16,16,82,64,78,TE,87.4,74.7,-24.10000000000001,3,0,3,-11,4.5,11.849999999999994,2,50,3.5
Dallas Goedert,2018,23,30.4,256,77,16,8,44,33,75,TE,57.4,86.7,-12.100000000000009,-3,0,2.799999999999997,-49,-26.5,8.849999999999994,-6,41,2.5
Greg Olsen,2018,33,30.2,255,77,9,9,38,27,71.1,TE,53.1,71.7,-27.10000000000001,7,-7,2.599999999999998,-55,-32.5,4.949999999999989,-5,40,2.5
Vance McDonald,2018,28,32.5,267,76,15,14,72,50,69.4,TE,83,45.5,-53.30000000000001,2,-1,4.899999999999999,-21,-9.5,3.25,0,52,1.5
Courtland Sutton,2018,23,26.3,216,76,16,9,84,42,50,WR,94.3,150.4,51.599999999999994,-3,0,-1.3000000000000007,-9,-17.5,-16.150000000000006,-5,1,1.5
Corey Davis,2018,23,26.1,209,75,16,16,112,65,58,WR,118.6,72.1,-26.700000000000017,-3,0,-1.5,19,5.5,-8.150000000000006,2,-6,0.5
Allen Robinson,2018,25,28.2,220,74,13,12,94,55,58.5,WR,98.3,156.9,58.099999999999994,-1,-3,0.5999999999999979,1,-4.5,-7.650000000000006,-2,5,-0.5
Mohamed Sanu,2018,29,27,210,74,16,16,94,66,70.2,WR,116.4,65.1,-33.70000000000002,3,0,-0.6000000000000014,1,6.5,4.049999999999997,2,-5,-0.5
Nelson Agholor,2018,25,27.1,200,72,16,16,97,64,66,WR,101.4,55,-43.80000000000001,-1,0,-0.5,4,4.5,-0.15000000000000568,2,-15,-2.5
Jarvis Landry,2018,26,27.3,196,71,16,14,149,81,54.4,WR,136.1,154.4,55.599999999999994,0,0,-0.3000000000000007,56,21.5,-11.750000000000007,0,-19,-3.5
Emmanuel Sanders,2018,31,25.1,180,71,12,12,98,71,72.4,WR,127.2,124.3,25.499999999999986,5,-4,-2.5,5,11.5,6.25,-2,-35,-3.5
Sterling Shepard,2018,25,28.4,198,70,16,16,107,66,61.7,WR,116.5,84.8,-14.000000000000014,-1,0,0.7999999999999972,14,6.5,-4.450000000000003,2,-17,-4.5
Darren Fells,2018,32,30.4,270,79,16,11,12,11,91.7,TE,29.7,76.1,-22.700000000000017,6,0,2.799999999999997,-81,-48.5,25.549999999999997,-3,55,4.5
C.J. Uzomah,2018,25,32.1,271,77,16,15,64,43,67.2,TE,61.9,36.2,-62.60000000000001,-1,0,4.5,-29,-16.5,1.0499999999999972,1,56,2.5
Jonnu Smith,2018,23,31,248,75,13,12,30,20,66.7,TE,43.8,69.7,-29.10000000000001,-3,-3,3.3999999999999986,-63,-39.5,0.5499999999999972,-2,33,0.5
Sammy Watkins,2018,25,27.8,211,73,10,9,55,40,72.7,WR,75.1,86.5,-12.300000000000011,-1,-6,0.1999999999999993,-38,-19.5,6.549999999999997,-5,-4,-1.5
Jimmy Graham,2018,32,29.9,265,79,16,12,89,55,61.8,TE,75.6,62.7,-36.10000000000001,6,0,2.299999999999997,-4,-4.5,-4.3500000000000085,-2,50,4.5
Tyler Higbee,2018,25,29.5,255,78,16,16,34,24,70.6,TE,41.2,91.4,-7.400000000000006,-1,0,1.8999999999999986,-59,-35.5,4.449999999999989,2,40,3.5
Jeff Heuerman,2018,26,30.2,255,77,11,10,48,31,64.6,TE,40.1,17.4,-81.4,0,-5,2.599999999999998,-45,-28.5,-1.5500000000000114,-4,40,2.5
Luke Stocker,2018,30,30,253,77,16,11,21,15,71.4,TE,28.5,5.3,-93.50000000000001,4,0,2.3999999999999986,-72,-44.5,5.25,-3,38,2.5
Marquez Valdes-Scantling,2018,24,25.1,206,76,16,10,73,38,52.1,WR,73,58.1,-40.70000000000001,-2,0,-2.5,-20,-21.5,-14.050000000000004,-4,-9,1.5
Michael Gallup,2018,22,26.1,198,73,16,8,68,33,48.5,WR,64.7,146.7,47.89999999999998,-4,0,-1.5,-25,-26.5,-17.650000000000006,-6,-17,-1.5
D.J. Moore,2018,21,29.3,210,71,16,10,82,55,67.1,WR,102,143.5,44.69999999999999,-5,0,1.6999999999999993,-11,-4.5,0.9499999999999886,-4,-5,-3.5
Josh Hill,2018,28,29.6,250,77,16,11,24,16,66.7,TE,24.5,40.6,-58.20000000000001,2,0,2,-69,-43.5,0.5499999999999972,-3,35,2.5
Jeremy Sprinkle,2018,24,29.9,252,77,16,9,9,5,55.6,TE,10.1,30.1,-68.70000000000002,-2,0,2.299999999999997,-84,-54.5,-10.550000000000004,-5,37,2.5
Danny Amendola,2018,33,25.8,185,71,15,15,79,59,74.7,WR,68.4,78.6,-20.200000000000017,7,-1,-1.8000000000000007,-14,-0.5,8.549999999999997,1,-30,-3.5
Willie Snead,2018,26,27.2,195,71,16,10,95,62,65.3,WR,72.4,64.1,-34.70000000000002,0,0,-0.40000000000000213,2,2.5,-0.8500000000000085,-4,-20,-3.5
Ryan Griffin,2018,28,29.5,255,78,14,11,43,24,55.8,TE,30.5,64,-34.80000000000001,2,-2,1.8999999999999986,-50,-35.5,-10.350000000000009,-3,40,3.5
Nick Boyle,2018,25,32.9,270,76,16,13,37,23,62.2,TE,21.3,44.1,-54.70000000000001,-1,0,5.299999999999997,-56,-36.5,-3.950000000000003,-1,55,1.5
Charles Clay,2018,29,30.7,246,75,13,12,36,21,58.3,TE,16.4,29.7,-69.10000000000001,3,-3,3.099999999999998,-57,-38.5,-7.8500000000000085,-2,31,0.5
Cooper Kupp,2019,26,26.7,208,74,16,14,134,94,70.1,WR,176.5,116.7,17.89999999999999,0,0,-0.9000000000000021,41,34.5,3.9499999999999886,0,-7,-0.5
DeVante Parker,2019,26,26.9,215,75,16,14,128,72,56.3,WR,174.2,103.3,4.499999999999986,0,0,-0.7000000000000028,35,12.5,-9.850000000000009,0,0,0.5
