Player,Season,Age,BMI,Weight,HeightInch,GamesPlayed,GamesStarted,NumTargets,NumReceptions,CatchPercent,Position,FanPt,FanPtNextSeason,FanPtNextSeason_Center,Age_Center,GamesPlayed_Center,BMI_Center,NumTargets_Center,NumReceptions_Center,CatchPercent_Center,GamesStarted_Center,Weight_Center,HeightInch_Center
Keenan Allen,2020,28,27.1,211,74,14,13,147,100,68,WR,145.1,151.8,53,2,-2,-0.5,54,40.5,1.8499999999999943,-1,-4,-0.5
Nelson Agholor,2020,27,27.1,200,72,16,13,82,48,58.5,WR,137.6,66.4,-32.400000000000006,1,0,-0.5,-11,-11.5,-7.650000000000006,-1,-15,-2.5
Stefon Diggs,2020,27,25.9,191,72,16,15,166,127,76.5,WR,201.6,182.5,83.69999999999999,1,0,-1.7000000000000028,73,67.5,10.349999999999994,1,-24,-2.5
Marquise Brown,2020,23,26.6,180,69,16,14,100,58,58,WR,125,135.3,36.5,-3,0,-1,7,-1.5,-8.150000000000006,0,-35,-5.5
Rob Gronkowski,2020,31,30.6,265,78,16,16,77,45,58.4,TE,104.3,116.2,17.39999999999999,5,0,3,-16,-14.5,-7.750000000000007,2,50,3.5
Chris Godwin,2020,24,27.6,209,73,12,12,84,65,77.4,WR,126,144.4,45.599999999999994,-2,-4,0,-9,5.5,11.25,-2,-6,-1.5
Justin Jefferson,2020,21,25.7,195,73,16,14,125,88,70.4,WR,186.2,222.4,123.6,-5,0,-1.9000000000000021,32,28.5,4.25,0,-20,-1.5
Diontae Johnson,2020,24,26.3,183,70,15,13,144,88,61.1,WR,133.8,167.4,68.6,-2,-1,-1.3000000000000007,51,28.5,-5.050000000000004,-1,-32,-4.5
Mike Gesicki,2020,25,28.3,245,78,15,9,85,53,62.4,TE,106.3,92,-6.800000000000011,-1,-1,0.6999999999999993,-8,-6.5,-3.750000000000007,-5,30,3.5
T.J. Hockenson,2020,23,29.4,248,77,16,16,101,67,66.3,TE,108.3,84.3,-14.500000000000014,-3,0,1.7999999999999972,8,7.5,0.14999999999999147,2,33,2.5
Tee Higgins,2020,21,26.7,219,76,16,14,108,67,62,WR,127.6,145.1,46.29999999999998,-5,0,-0.9000000000000021,15,7.5,-4.150000000000006,0,4,1.5
Tim Patrick,2020,27,25.8,212,76,15,15,79,51,64.6,WR,110.2,103.4,4.599999999999994,1,-1,-1.8000000000000007,-14,-8.5,-1.5500000000000114,1,-3,1.5
Allen Robinson,2020,27,28.2,220,74,16,16,151,102,67.5,WR,160.9,49,-49.80000000000001,1,0,0.5999999999999979,58,42.5,1.3499999999999943,2,5,-0.5
DeAndre Hopkins,2020,28,28.8,218,73,16,16,160,115,71.9,WR,172.8,105.2,6.3999999999999915,2,0,1.1999999999999993,67,55.5,5.75,2,3,-1.5
Robert Woods,2020,28,26.4,195,72,16,16,129,90,69.8,WR,155.1,92.2,-6.6000000000000085,2,0,-1.2000000000000028,36,30.5,3.6499999999999915,2,-20,-2.5
Christian Kirk,2020,24,27.9,200,71,14,10,79,48,60.8,WR,98.4,130.6,31.799999999999983,-2,-2,0.29999999999999716,-14,-11.5,-5.3500000000000085,-4,-15,-3.5
Brandin Cooks,2020,27,27.1,189,70,15,15,119,81,68.1,WR,151,141.8,43,1,-1,-0.5,26,21.5,1.9499999999999886,1,-26,-4.5
Tyler Higbee,2020,27,29.5,255,78,15,15,60,44,73.3,TE,84.2,86,-12.800000000000011,1,-1,1.8999999999999986,-33,-15.5,7.1499999999999915,1,40,3.5
Mike Williams,2020,26,26.5,218,76,15,11,85,48,56.5,WR,105.7,170.6,71.79999999999998,0,-1,-1.1000000000000014,-8,-11.5,-9.650000000000006,-3,3,1.5
Corey Davis,2020,25,26.1,209,75,14,12,92,65,70.7,WR,126.4,71.2,-27.60000000000001,-1,-2,-1.5,-1,5.5,4.549999999999997,-2,-6,0.5
CeeDee Lamb,2020,21,25.7,200,74,16,14,111,74,66.7,WR,143.7,153.8,55,-5,0,-1.9000000000000021,18,14.5,0.5499999999999972,0,-15,-0.5
Zach Pascal,2020,26,27.6,215,74,16,14,71,44,62,WR,92.9,56.5,-42.30000000000001,0,0,0,-22,-15.5,-4.150000000000006,0,0,-0.5
Amari Cooper,2020,26,27.8,211,73,16,15,130,92,70.8,WR,144.8,134.5,35.69999999999999,0,0,0.1999999999999993,37,32.5,4.6499999999999915,1,-4,-1.5
Michael Gallup,2020,24,26.1,198,73,16,15,105,59,56.2,WR,114.3,56.5,-42.30000000000001,-2,0,-1.5,12,-0.5,-9.950000000000003,1,-17,-1.5
Laviska Shenault Jr.,2020,22,29,220,73,14,12,79,58,73.4,WR,99.1,64,-34.80000000000001,-4,-2,1.3999999999999986,-14,-1.5,7.25,-2,5,-1.5
Brandon Aiyuk,2020,22,27.1,200,72,12,11,96,60,62.5,WR,124.5,114.3,15.499999999999986,-4,-4,-0.5,3,0.5,-3.6500000000000057,-3,-15,-2.5
T.Y. Hilton,2020,31,26.3,183,70,15,15,93,56,60.2,WR,108.2,51.1,-47.70000000000001,5,-1,-1.3000000000000007,0,-3.5,-5.950000000000003,1,-32,-4.5
Hunter Henry,2020,26,30.6,258,77,14,14,93,60,64.5,TE,85.3,114.3,15.499999999999986,0,-2,3,0,0.5,-1.6500000000000057,0,43,2.5
Dalton Schultz,2020,24,28.9,244,77,16,14,89,63,70.8,TE,83.5,130.8,32,-2,0,1.2999999999999972,-4,3.5,4.6499999999999915,0,29,2.5
Austin Hooper,2020,26,30.9,254,76,13,13,70,46,65.7,TE,67.5,54.5,-44.30000000000001,0,-3,3.299999999999997,-23,-13.5,-0.45000000000000284,-1,39,1.5
DeVante Parker,2020,27,26.9,215,75,14,11,103,63,61.2,WR,103.3,63.5,-35.30000000000001,1,-2,-0.7000000000000028,10,3.5,-4.950000000000003,-3,0,0.5
Tyler Boyd,2020,26,26.1,203,74,15,8,110,79,71.8,WR,113.6,116.8,17.999999999999986,0,-1,-1.5,17,19.5,5.6499999999999915,-6,-12,-0.5
Russell Gage,2020,24,25.1,185,72,16,8,109,72,66.1,WR,109.1,97,-1.8000000000000114,-2,0,-2.5,16,12.5,-0.05000000000001137,-6,-30,-2.5
Terry McLaurin,2020,25,28.5,210,72,15,15,134,87,64.9,WR,136.8,136.5,37.69999999999999,-1,-1,0.8999999999999986,41,27.5,-1.25,1,-5,-2.5
Darnell Mooney,2020,23,24.1,173,71,16,9,98,61,62.2,WR,91.1,138.7,39.89999999999998,-3,0,-3.5,5,1.5,-3.950000000000003,-5,-42,-3.5
D.J. Moore,2020,23,29.3,210,71,15,14,118,66,55.9,WR,145.5,144.5,45.69999999999999,-3,-1,1.6999999999999993,25,6.5,-10.250000000000007,0,-5,-3.5
Mecole Hardman,2020,22,26.8,187,70,16,8,62,41,66.1,WR,87.1,81.9,-16.900000000000006,-4,0,-0.8000000000000007,-31,-18.5,-0.05000000000001137,-6,-28,-4.5
Cole Beasley,2020,31,26.5,174,68,15,10,107,82,76.6,WR,125.5,77.3,-21.500000000000014,5,-1,-1.1000000000000014,14,22.5,10.449999999999989,-4,-41,-6.5
Jack Doyle,2020,30,30.3,262,78,14,12,33,23,69.7,TE,41.1,50.2,-48.60000000000001,4,-2,2.6999999999999993,-60,-36.5,3.549999999999997,-2,47,3.5
Marcedes Lewis,2020,36,30.6,265,78,15,15,17,10,58.8,TE,28.7,21.4,-77.4,10,-1,3,-76,-49.5,-7.3500000000000085,1,50,3.5
Dallas Goedert,2020,25,30.4,256,77,11,9,65,46,70.8,TE,70.4,109,10.199999999999989,-1,-5,2.799999999999997,-28,-13.5,4.6499999999999915,-5,41,2.5
Allen Lazard,2020,25,26.9,227,77,10,9,46,33,71.7,WR,64.8,102.5,3.6999999999999886,-1,-6,-0.7000000000000028,-47,-26.5,5.549999999999997,-5,12,2.5
Noah Fant,2020,23,30.3,249,76,15,14,93,62,66.7,TE,87.3,91,-7.800000000000011,-3,-1,2.6999999999999993,0,2.5,0.5499999999999972,0,34,1.5
Robbie Chosen,2020,27,23.1,185,75,16,16,136,95,69.9,WR,129.1,85.5,-13.300000000000011,1,0,-4.5,43,35.5,3.75,2,-30,0.5
Julio Jones,2020,31,27.5,220,75,9,9,68,51,75,WR,95.1,49.4,-49.40000000000001,5,-7,-0.10000000000000142,-25,-8.5,8.849999999999994,-5,5,0.5
Cooper Kupp,2020,27,26.7,208,74,15,12,124,92,74.2,WR,116.7,294.5,195.7,1,-1,-0.9000000000000021,31,32.5,8.049999999999997,-2,-7,-0.5
Demarcus Robinson,2020,26,26.8,203,73,16,9,59,45,76.3,WR,62.6,44.4,-54.40000000000001,0,0,-0.8000000000000007,-34,-14.5,10.149999999999991,-5,-12,-1.5
Jarvis Landry,2020,28,27.3,196,71,15,14,101,72,71.3,WR,116,81,-17.80000000000001,2,-1,-0.3000000000000007,8,12.5,5.1499999999999915,0,-19,-3.5
Cole Kmet,2020,21,30,260,78,16,9,44,28,63.6,TE,34,61.2,-37.60000000000001,-5,0,2.3999999999999986,-49,-31.5,-2.5500000000000043,-5,45,3.5
Durham Smythe,2020,25,28.4,246,78,15,13,29,26,89.7,TE,32.8,36,-62.80000000000001,-1,-1,0.7999999999999972,-64,-33.5,23.549999999999997,-1,31,3.5
Pharaoh Brown,2020,26,29.2,246,77,13,9,16,14,87.5,TE,28.3,15.1,-83.70000000000002,0,-3,1.5999999999999979,-77,-45.5,21.349999999999994,-5,31,2.5
Will Dissly,2020,24,32.3,265,76,16,12,29,24,82.8,TE,37.1,29.1,-69.70000000000002,-2,0,4.699999999999996,-64,-35.5,16.64999999999999,-2,50,1.5
A.J. Green,2020,32,25.2,207,76,16,14,104,47,45.2,WR,64.3,102.8,3.999999999999986,6,0,-2.400000000000002,11,-12.5,-20.950000000000003,0,-8,1.5
George Kittle,2020,27,30.4,250,76,8,8,63,48,76.2,TE,77.1,127,28.19999999999999,1,-8,2.799999999999997,-30,-11.5,10.049999999999997,-6,35,1.5
Sammy Watkins,2020,27,27.8,211,73,10,9,55,37,67.3,WR,50.4,43.4,-55.40000000000001,1,-6,0.1999999999999993,-38,-22.5,1.1499999999999915,-5,-4,-1.5
Kyle Rudolph,2020,31,30.6,265,78,12,12,37,28,75.7,TE,37.4,33.7,-65.10000000000001,5,-4,3,-56,-31.5,9.549999999999997,-2,50,3.5
Zach Ertz,2020,30,29.6,250,77,11,11,72,36,50,TE,41.5,106.7,7.8999999999999915,4,-5,2,-21,-23.5,-16.150000000000006,-3,35,2.5
Drew Sample,2020,24,30.2,255,77,16,13,53,40,75.5,TE,38.9,8.1,-90.70000000000002,-2,0,2.599999999999998,-40,-19.5,9.349999999999994,-1,40,2.5
Michael Pittman Jr.,2020,23,27.1,223,76,13,8,61,40,65.6,WR,58.9,150.6,51.79999999999998,-3,-3,-0.5,-32,-19.5,-0.5500000000000114,-6,8,1.5
Geoff Swaim,2020,27,31.6,260,76,10,8,12,9,75,WR,14.3,39,-59.80000000000001,1,-6,4,-81,-50.5,8.849999999999994,-6,45,1.5
Ian Thomas,2020,24,31.6,260,76,16,8,31,20,64.5,TE,20.5,18.8,-80.00000000000001,-2,0,4,-62,-39.5,-1.6500000000000057,-6,45,1.5
Evan Engram,2020,26,30,240,75,16,14,109,63,57.8,TE,78,56.5,-42.30000000000001,0,0,2.3999999999999986,16,3.5,-8.350000000000009,0,25,0.5
Jalen Reagor,2020,21,27.5,197,71,11,11,54,31,57.4,WR,56.2,45.1,-53.70000000000001,-5,-5,-0.10000000000000142,-39,-28.5,-8.750000000000007,-3,-18,-3.5
Chris Manhertz,2020,28,27.2,235,78,16,12,8,6,75,TE,5.2,13.1,-85.70000000000002,2,0,-0.40000000000000213,-85,-53.5,8.849999999999994,-2,20,3.5
Jakobi Meyers,2020,24,25.7,200,74,14,9,81,59,72.8,WR,83.5,103.3,4.499999999999986,-2,-2,-1.9000000000000021,-12,-0.5,6.6499999999999915,-5,-15,-0.5
Cooper Kupp,2021,28,26.7,208,74,17,17,191,145,75.9,WR,294.5,126.4,27.599999999999994,2,1,-0.9000000000000021,98,85.5,9.75,3,-7,-0.5
Mike Evans,2021,28,27.4,231,77,16,16,114,74,64.9,WR,188.5,148.4,49.599999999999994,2,0,-0.20000000000000284,21,14.5,-1.25,2,16,2.5
Ja'Marr Chase,2021,21,27.3,201,72,17,17,128,81,63.3,WR,223.6,155.4,56.599999999999994,-5,1,-0.3000000000000007,35,21.5,-2.8500000000000085,3,-14,-2.5
D.K. Metcalf,2021,24,28.6,235,76,17,17,129,75,58.1,WR,169.3,136.8,38,-2,1,1,36,15.5,-8.050000000000004,3,20,1.5
Davante Adams,2021,29,28.4,215,73,16,16,169,123,72.8,WR,221.3,235.5,136.7,3,0,0.7999999999999972,76,63.5,6.6499999999999915,2,0,-1.5
Adam Thielen,2021,31,25,195,74,13,13,95,67,70.5,WR,132.8,110,11.199999999999989,5,-3,-2.6000000000000014,2,7.5,4.349999999999994,-1,-20,-0.5
Justin Jefferson,2021,22,25.7,195,73,17,17,167,108,64.7,WR,222.4,240.7,141.89999999999998,-4,1,-1.9000000000000021,74,48.5,-1.4500000000000028,3,-20,-1.5
Stefon Diggs,2021,28,25.9,191,72,17,17,164,103,62.8,WR,182.5,208.6,109.79999999999998,2,1,-1.7000000000000028,71,43.5,-3.3500000000000085,3,-24,-2.5
Mark Andrews,2021,26,29.3,247,77,17,9,153,107,69.9,TE,194.1,117.5,18.69999999999999,0,1,1.6999999999999993,60,47.5,3.75,-5,32,2.5
Hunter Henry,2021,27,30.6,258,77,17,10,75,50,66.7,TE,114.3,62.9,-35.90000000000001,1,1,3,-18,-9.5,0.5499999999999972,-4,43,2.5
Travis Kelce,2021,32,29.6,250,77,16,16,134,92,68.7,TE,170.8,206.3,107.5,6,0,2,41,32.5,2.549999999999997,2,35,2.5
Dawson Knox,2021,25,30.9,254,76,15,14,71,49,69,TE,115.1,87.7,-11.100000000000009,-1,-1,3.299999999999997,-22,-10.5,2.8499999999999943,0,39,1.5
Mike Williams,2021,27,26.5,218,76,16,14,129,76,58.9,WR,170.6,113.5,14.699999999999989,1,0,-1.1000000000000014,36,16.5,-7.250000000000007,0,3,1.5
Tyreek Hill,2021,27,27.4,191,70,17,16,159,111,69.8,WR,185.5,228.2,129.39999999999998,1,1,-0.20000000000000284,66,51.5,3.6499999999999915,2,-24,-4.5
Allen Lazard,2021,26,26.9,227,77,15,13,60,40,66.7,WR,102.5,114.8,15.999999999999986,0,-1,-0.7000000000000028,-33,-19.5,0.5499999999999972,-1,12,2.5
Dalton Schultz,2021,25,28.9,244,77,17,15,104,78,75,TE,130.8,85.7,-13.100000000000009,-1,1,1.2999999999999972,11,18.5,8.849999999999994,1,29,2.5
Amari Cooper,2021,27,27.8,211,73,15,14,104,68,65.4,WR,134.5,168,69.19999999999999,1,-1,0.1999999999999993,11,8.5,-0.75,0,-4,-1.5
DeAndre Hopkins,2021,29,28.8,218,73,10,10,64,42,65.6,WR,105.2,87.7,-11.100000000000009,3,-6,1.1999999999999993,-29,-17.5,-0.5500000000000114,-4,3,-1.5
Diontae Johnson,2021,25,26.3,183,70,16,14,169,107,63.3,WR,167.4,94.7,-4.1000000000000085,-1,0,-1.3000000000000007,76,47.5,-2.8500000000000085,0,-32,-4.5
Tyler Lockett,2021,29,26.1,182,70,16,16,107,73,68.2,WR,168.4,153.3,54.5,3,0,-1.5,14,13.5,2.049999999999997,2,-33,-4.5
Pat Freiermuth,2021,23,30.6,258,77,16,9,79,60,75.9,TE,91.7,85.2,-13.600000000000009,-3,0,3,-14,0.5,9.75,-5,43,2.5
K.J. Osborn,2021,24,28.3,203,71,17,9,82,50,61,WR,108.5,95.6,-3.200000000000017,-2,1,0.6999999999999993,-11,-9.5,-5.150000000000006,-5,-12,-3.5
Tee Higgins,2021,22,26.7,219,76,14,14,110,74,67.3,WR,145.1,146.9,48.099999999999994,-4,-2,-0.9000000000000021,17,14.5,1.1499999999999915,0,4,1.5
George Kittle,2021,28,30.4,250,76,14,14,94,71,75.5,TE,127,140.5,41.69999999999999,2,-2,2.799999999999997,1,11.5,9.349999999999994,0,35,1.5
Michael Pittman Jr.,2021,24,27.1,223,76,17,17,129,88,68.2,WR,150.6,117.5,18.69999999999999,-2,1,-0.5,36,28.5,2.049999999999997,3,8,1.5
Keenan Allen,2021,29,27.1,211,74,16,16,157,106,67.5,WR,151.8,98,-0.8000000000000114,3,0,-0.5,64,46.5,1.3499999999999943,2,-4,-0.5
CeeDee Lamb,2021,22,25.7,200,74,16,13,120,79,65.8,WR,153.8,194.6,95.79999999999998,-4,0,-1.9000000000000021,27,19.5,-0.3500000000000085,-1,-15,-0.5
Van Jefferson,2021,25,26.4,200,73,17,17,89,50,56.2,WR,118.2,54.9,-43.90000000000001,-1,1,-1.2000000000000028,-4,-9.5,-9.950000000000003,3,-15,-1.5
Deebo Samuel,2021,25,29.2,215,72,16,15,121,77,63.6,WR,262,112.4,13.599999999999994,-1,0,1.5999999999999979,28,17.5,-2.5500000000000043,1,0,-2.5
Brandin Cooks,2021,28,27.1,189,70,16,16,134,90,67.2,WR,141.8,88.6,-10.200000000000017,2,0,-0.5,41,30.5,1.0499999999999972,2,-26,-4.5
Jaylen Waddle,2021,23,26.5,185,70,16,16,140,104,74.3,WR,141.8,184.2,85.39999999999998,-3,0,-1.1000000000000014,47,44.5,8.149999999999991,2,-30,-4.5
Marquise Brown,2021,24,26.6,180,69,16,16,146,91,62.3,WR,135.3,89,-9.800000000000011,-2,0,-1,53,31.5,-3.8500000000000085,2,-35,-5.5
Tyler Higbee,2021,28,29.5,255,78,15,15,85,61,71.8,TE,86,80,-18.80000000000001,2,-1,1.8999999999999986,-8,1.5,5.6499999999999915,1,40,3.5
Zach Ertz,2021,31,29.6,250,77,17,14,112,74,66.1,TE,106.7,68.6,-30.200000000000017,5,1,2,19,14.5,-0.05000000000001137,0,35,2.5
C.J. Uzomah,2021,28,32.1,271,77,16,16,63,49,77.8,TE,79.3,35.2,-63.60000000000001,2,0,4.5,-30,-10.5,11.649999999999991,2,56,2.5
Tyler Boyd,2021,27,26.1,203,74,16,10,94,67,71.3,WR,116.8,109.1,10.299999999999983,1,0,-1.5,1,7.5,5.1499999999999915,-4,-12,-0.5
A.J. Brown,2021,24,29.8,226,73,13,13,105,63,60,WR,117.9,211.6,112.79999999999998,-2,-3,2.1999999999999993,12,3.5,-6.150000000000006,-1,11,-1.5
Chris Godwin,2021,25,27.6,209,73,14,14,127,98,77.2,WR,144.4,118.8,19.999999999999986,-1,-2,0,34,38.5,11.049999999999997,0,-6,-1.5
Brandon Aiyuk,2021,23,27.1,200,72,17,16,84,56,66.7,WR,114.3,149.8,51,-3,1,-0.5,-9,-3.5,0.5499999999999972,2,-15,-2.5
Terry McLaurin,2021,26,28.5,210,72,17,17,130,77,59.2,WR,136.5,152,53.19999999999999,0,1,0.8999999999999986,37,17.5,-6.950000000000003,3,-5,-2.5
DeVonta Smith,2021,23,23.1,170,72,17,16,104,64,61.5,WR,121.6,159.6,60.79999999999998,-3,1,-4.5,11,4.5,-4.650000000000006,2,-45,-2.5
Amon-Ra St. Brown,2021,22,27.4,202,72,17,9,119,90,75.6,WR,137.3,161.6,62.79999999999998,-4,1,-0.20000000000000284,26,30.5,9.449999999999989,-5,-13,-2.5
Christian Kirk,2021,25,27.9,200,71,17,11,103,77,74.8,WR,130.6,157.9,59.099999999999994,-1,1,0.29999999999999716,10,17.5,8.649999999999991,-3,-15,-3.5
Dallas Goedert,2021,26,30.4,256,77,15,14,76,56,73.7,TE,109,86.2,-12.600000000000009,0,-1,2.799999999999997,-17,-3.5,7.549999999999997,0,41,2.5
T.J. Hockenson,2021,24,29.4,248,77,12,12,84,61,72.6,TE,84.3,129.4,30.599999999999994,-2,-4,1.7999999999999972,-9,1.5,6.449999999999989,-2,33,2.5
Noah Fant,2021,24,30.3,249,76,16,16,90,68,75.6,TE,91,72.6,-26.200000000000017,-2,0,2.6999999999999993,-3,8.5,9.449999999999989,2,34,1.5
David Njoku,2021,25,29.9,246,76,16,11,53,36,67.9,TE,71.6,84,-14.800000000000011,-1,0,2.299999999999997,-40,-23.5,1.75,-3,31,1.5
Corey Davis,2021,26,26.1,209,75,9,9,59,34,57.6,WR,71.2,65.6,-33.20000000000002,0,-7,-1.5,-34,-25.5,-8.550000000000004,-5,-6,0.5
Gerald Everett,2021,27,31.2,250,75,15,12,63,48,76.2,TE,69.8,81.5,-17.30000000000001,1,-1,3.599999999999998,-30,-11.5,10.049999999999997,-2,35,0.5
Marvin Jones,2021,31,25.5,199,74,17,16,120,73,60.8,WR,107.2,70.9,-27.900000000000006,5,1,-2.1000000000000014,27,13.5,-5.3500000000000085,2,-16,-0.5
Robert Woods,2021,29,26.4,195,72,9,9,69,45,65.2,WR,92.2,62.7,-36.10000000000001,3,-7,-1.2000000000000028,-24,-14.5,-0.9500000000000028,-5,-20,-2.5
Darnell Mooney,2021,24,24.1,173,71,17,14,140,81,57.9,WR,138.7,61.5,-37.30000000000001,-2,1,-3.5,47,21.5,-8.250000000000007,0,-42,-3.5
D.J. Moore,2021,24,29.3,210,71,17,17,163,93,57.1,WR,144.5,136.1,37.29999999999998,-2,1,1.6999999999999993,70,33.5,-9.050000000000004,3,-5,-3.5
A.J. Green,2021,33,25.2,207,76,16,9,92,54,58.7,WR,102.8,37.6,-61.20000000000001,7,0,-2.400000000000002,-1,-5.5,-7.450000000000003,-5,-8,1.5
Foster Moreau,2021,24,30.4,250,76,17,11,44,30,68.2,TE,55.3,52.2,-46.60000000000001,-2,1,2.799999999999997,-49,-29.5,2.049999999999997,-3,35,1.5
Geoff Swaim,2021,28,31.6,260,76,16,16,40,31,77.5,TE,39,11.8,-87.00000000000001,2,0,4,-53,-28.5,11.349999999999994,2,45,1.5
Tyler Conklin,2021,26,31.7,254,75,17,15,87,61,70.1,TE,77.3,73.5,-25.30000000000001,0,1,4.099999999999998,-6,1.5,3.9499999999999886,1,39,0.5
Evan Engram,2021,27,30,240,75,15,12,73,46,63,TE,56.5,103.9,5.099999999999994,1,-1,2.3999999999999986,-20,-13.5,-3.1500000000000057,-2,25,0.5
Donovan Peoples-Jones,2021,22,26.2,204,74,14,9,58,34,58.6,WR,75.7,106.1,7.299999999999983,-4,-2,-1.4000000000000021,-35,-25.5,-7.550000000000004,-5,-11,-0.5
Olamide Zaccheaus,2021,24,29.3,193,68,17,8,53,31,58.5,WR,58.8,70,-28.80000000000001,-2,1,1.6999999999999993,-40,-28.5,-7.650000000000006,-6,-22,-6.5
Adam Trautman,2021,24,30,253,77,13,10,43,27,62.8,TE,36.3,26.7,-72.10000000000001,-2,-3,2.3999999999999986,-50,-32.5,-3.3500000000000085,-4,38,2.5
Chase Claypool,2021,23,29,238,76,15,13,105,59,56.2,WR,107.6,59,-39.80000000000001,-3,-1,1.3999999999999986,12,-0.5,-9.950000000000003,-1,23,1.5
Courtland Sutton,2021,26,26.3,216,76,17,16,98,58,59.2,WR,92.2,95.4,-3.4000000000000057,0,1,-1.3000000000000007,5,-1.5,-6.950000000000003,2,1,1.5
DeVante Parker,2021,28,26.9,215,75,10,8,73,40,54.8,WR,63.5,71.9,-26.900000000000006,2,-6,-0.7000000000000028,-20,-19.5,-11.350000000000009,-6,0,0.5
Jakobi Meyers,2021,25,25.7,200,74,17,16,126,83,65.9,WR,103.3,113.3,14.499999999999986,-1,1,-1.9000000000000021,33,23.5,-0.25,2,-15,-0.5
Michael Gallup,2021,25,26.1,198,73,9,8,62,35,56.5,WR,56.5,66.4,-32.400000000000006,-1,-7,-1.5,-31,-24.5,-9.650000000000006,-6,-17,-1.5
O.J. Howard,2021,27,29,251,78,17,9,21,14,66.7,TE,19.5,26.5,-72.30000000000001,1,1,1.3999999999999986,-72,-45.5,0.5499999999999972,-5,36,3.5
Chris Manhertz,2021,29,27.2,235,78,17,10,9,6,66.7,TE,13.1,4.2,-94.60000000000001,3,1,-0.40000000000000213,-84,-53.5,0.5499999999999972,-4,20,3.5
Kyle Pitts,2021,21,28.4,246,78,17,15,110,68,61.8,TE,108.6,47.6,-51.20000000000001,-5,1,0.7999999999999972,17,8.5,-4.3500000000000085,1,31,3.5
Will Dissly,2021,25,32.3,265,76,15,14,26,21,80.8,TE,29.1,52.9,-45.90000000000001,-1,-1,4.699999999999996,-67,-38.5,14.649999999999991,0,50,1.5
Jonnu Smith,2021,26,31,248,75,16,11,45,28,62.2,TE,39.4,25,-73.80000000000001,0,0,3.3999999999999986,-48,-31.5,-3.950000000000003,-3,33,0.5
Zay Jones,2021,26,25.7,200,74,17,9,70,47,67.1,WR,58.9,116.1,17.299999999999983,0,1,-1.9000000000000021,-23,-12.5,0.9499999999999886,-5,-15,-0.5
Allen Robinson,2021,28,28.2,220,74,12,11,66,38,57.6,WR,49,51.9,-46.90000000000001,2,-4,0.5999999999999979,-27,-21.5,-8.550000000000004,-3,5,-0.5
Quez Watkins,2021,23,26.2,193,72,17,12,62,43,69.4,WR,73,51.5,-47.30000000000001,-3,1,-1.4000000000000021,-31,-16.5,3.25,-2,-22,-2.5
Zach Gentry,2021,25,29.1,265,80,17,12,25,19,76,TE,16.7,13.2,-85.60000000000001,-1,1,1.5,-68,-40.5,9.849999999999994,-2,50,5.5
Cole Kmet,2021,22,30,260,78,17,17,93,60,64.5,TE,61.2,97.3,-1.5000000000000142,-4,1,2.3999999999999986,0,0.5,-1.6500000000000057,3,45,3.5
Marcedes Lewis,2021,37,30.6,265,78,17,17,28,23,82.1,TE,21.4,20.6,-78.20000000000002,11,1,3,-65,-36.5,15.949999999999989,3,50,3.5
Durham Smythe,2021,26,28.4,246,78,17,12,41,34,82.9,TE,36,25,-73.80000000000001,0,1,0.7999999999999972,-52,-25.5,16.75,-2,31,3.5
Pharaoh Brown,2021,27,29.2,246,77,15,12,34,23,67.6,TE,15.1,11.7,-87.10000000000001,1,-1,1.5999999999999979,-59,-36.5,1.4499999999999886,-2,31,2.5
Ian Thomas,2021,25,31.6,260,76,17,13,30,18,60,TE,18.8,19.7,-79.10000000000001,-1,1,4,-63,-41.5,-6.150000000000006,-1,45,1.5
